ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2082 16 2.670301243359011 16 2.795573675014559 13 2.4628986422481867 3 2.490315439955724 16 2.838808883106134 16 2.7792252909501554 13 2.620967741935491 3 1.745708466686067
2083 16 2.82153773806725 16 2.966533790673963 12 2.3936170212766013 4 2.888781896966772 16 2.6989794483960803 16 2.6873442879937413 13 2.269156920928615 3 2.0635102602315785
2088 16 1.9153648171425148 16 2.2707382264588376 9 1.8766942378536144 3 2.3367519148383806 9 1.3607499244027796 16 1.6977328192975571 1 2.3006134969325154 7 1.7046146353342255
2089 16 2.4517315353968794 16 3.0213382010448853 4 1.6272289646755702 11 2.4544440312383866 16 2.871500358937532 16 2.923976608187132 11 2.310358105506356 4 2.2522522522522523
2090 14 2.4471959213401275 16 2.0993242799973753 3 1.6130477641365728 9 1.8602728400165358 15 2.310654685494223 16 2.243357558479189 15 1.7522682138546009 1 1.8209408194233578
2091 16 3.5629453681710297 16 3.140847374447905 12 3.3715757433856144 4 2.614663906743668 16 3.072393266338094 16 3.0602486452024285 16 2.855018587360594 0 NA
2092 14 2.4385287543182286 16 2.360984727380046 6 1.846153846153844 10 1.9311232700354037 NA NA NA NA NA NA NA NA
2095 16 2.3133644994939475 15 2.577393396145371 16 1.93314538864277 0 NA 13 1.700902786863798 16 1.7938895636737353 9 1.3248932724863829 2 1.6643550624133148
2098 8 2.476141346401857 8 2.2476119123431384 8 1.8716369024409287 0 NA 16 2.284898250624792 16 2.456122396766112 16 2.3197370964624016 0 NA
2099 16 2.2379709063782167 16 2.492729538845036 15 1.921557742810174 1 1.8478595626732368 15 1.9893019760399626 16 2.5830059732013084 16 1.9798304770154072 0 NA
2100 16 2.0079481280066918 16 2.304977310379597 13 1.5417457305502846 0 NA 13 1.7414990287793854 15 1.9563941482077243 10 1.5870916545430465 2 1.818732949378594
